,CrunchBase Ranking,Company Name/Organisation Name,Acquired by,About,Location,Number of Employees,Industry,IPO Status,Website,Founded Date,Headquarters,Founders,Operating Status,Hub Tags,Last Funding Type,Company Type,Investor Type,Investment Stage,Number of Investors,Number Funding Rounds,Total Funding Amount,Number of exits,Number of Lead Investors,Number of Acquisitions,Number of Current Team Members (core team),Number of Board Members/Advisors,Total Products Active,Product Downloads in the Last 30 Days,Active Tech Count,Monthly Visits,Monthly Visits Growth,Number of Articles,Number of Events,Number of Funds,Number of Investments,Number of Diversity Investments,Number of Exits,Related Hubs,Stock Symbol,IPO Date,Number of Sub,Organisations,Funding Rounds,Funds Raised (for VC),Number of Lead Investments
10,11,blocpower,NA,"['BlocPower is an energy technology startup that develops healthier, greener, and smarter cities.', 'BlocPower is an energy technology startup that develops healthier, greener, and smarter buildings.\nIt leverages advanced technologies, innovative electrification equipment, and structured finance to provide green heating and cooling to urban buildings. The company also connects government agencies, utilities, building owners, and smart equipment', 'providers to identify unhealthy, energy-wasting buildings to retrofit. Its propriety machine learning platform then determines which retrofits will produce the most energy savings at scale and uses the cloud and IoT to gather data and remotely monitor energy consumption. Since its founding, BlocPower has completed energy projects in nearly 1,000 buildings and delivers results ahead of schedule and under budget. It utilizes its proprietary software for analysis, leasing, project management, and monitoring of urban clean energy projects and its customers are saving 20-40% on their energy bills each year. The company is backed by top investors, including Kapor Capital, Andreessen Horowitz, American Family Insurance Institute for Corporate and Social Impact, AccelR8, The Goldman Sachs Urban Investment Group, Elemental Excelerator, CityRock Venture Partners, The Schmidt Family Foundation, and Salesforce Ventures.\nDonnel Baird and Morris Cox co-founded the company in Brooklyn, New York in 2014.']","Brooklyn, New York, United States",51-100,"['Clean Energy', 'CleanTech', 'Energy Efficiency', 'Energy Management', 'Smart Cities']",Private,www.blocpower.io,['2014'],"['Greater New York Area, East Coast, Northeastern US']","['Donnel Baird, Morris Cox']",['Active'],NA,['Debt Financing'],['For Profit'],NA,NA,20,NA,$75.9M,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,12,oscar,NA,"['Oscar is a health insurance company that offers individual and family plans, medicare advantages, and small group products.', 'Oscar is a health insurance company that offers individual and family plans, medicare advantages, and small group products.\nIt employs technology, design, and data to humanize health care. The company offers plans to individuals, couples, and families living in parts of New York, New Jersey, California, and Texas who don’t receive health insurance', 'from an employer.\nIn 2012, Joshua Kushner, Kevin Nazemi, and Mario Schlosser headquartered Oscar Health in New York, New York.']","New York, New York, United States",1001-5000,"['Health Care', 'Health Insurance', 'Insurance', 'InsurTech']",Public,www.hioscar.com,"['Nov 1, 2012']","['Greater New York Area, East Coast, Northeastern US']","['Joshua Kushner, Kevin Nazemi, Mario Schlosser']",['Active'],NA,['Venture - Series Unknown'],['For Profit'],NA,NA,28,NA,$1.6B,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,13,apollo-global-management-llc,NA,"['Apollo Global Management is a global asset management firm that specializes in credit-oriented capital and real estate markets.', 'Apollo is a global alternative asset manager specializing in private equity, credit-oriented capital markets, and real estate.\nIt provides performing and non-performing loans, insurance-linked securities, asset-backed securities, distressed debt, senior bank loans, structured credit, and other fixed-income products to clients. The firm caters to', 'industry groups including, chemicals, consumer products, and services, retail, oil and gas, distribution and transportation, financial and business services, media, telecom, and technology among others.\nThe company was founded in 1990 and is headquartered in New York, New York by Josh Harris, Leon Black, and Marc Rowan.']","New York, New York, United States",1001-5000,"['Asset Management', 'Credit', 'Finance', 'Financial Services', 'Real Estate']",NA,www.apollo.com,['1990'],"['Greater New York Area, East Coast, Northeastern US']","['Josh Harris, Leon Black, Marc Rowan']",['Active'],NA,['Post-IPO Equity'],['For Profit'],NA,NA,NA,2,NA,20,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,36,1,20,NA,['NYSE:APO'],NA,NA,NA,NA,NA,NA
13,14,goldman-sachs,NA,"['Goldman Sachs is a multinational financial services firm providing securities, and investment banking and management services.', 'The Goldman Sachs Group, Inc. provides investment banking, securities, and investment management services, as well as financial services to corporations, financial institutions, governments, and high-net-worth individuals worldwide.\nIts Investment Banking segment offers financial advisory services, including advisory assignments with respect to', 'mergers and acquisitions, divestitures, corporate defense, risk management, and restructurings and spin-offs; and underwriting services comprising public offerings and private placements of a range of securities, loans and other financial instruments, and derivative transactions.\nThe company’s Institutional Client Services segment provides client execution services, such as fixed income, currency, and commodities client execution related to making markets in interest rate products, credit products, mortgages, currencies, and commodities; and equities related to making markets in equity products, as well as executes and clears institutional client transactions on stock, options, and futures exchanges.\nThis segment also engages in securities services business providing financing, securities lending, and other brokerage services to institutional clients, including hedge funds, mutual funds, pension funds, and foundations. Its Investing and Lending segment originates longer-term loans; and invests in debt securities, loans, public and private equity securities, real estate, consolidated investment entities, distressed assets, currencies, commodities, and power generation facilities.\nThe company’s Investment Management segment provides investment products and services, as well as offers wealth advisory services, including portfolio management and financial counseling, and brokerage and other transaction services.\nThe Goldman Sachs Group, Inc. was founded in 1869 and is headquartered in New York, New York.']","New York, New York, United States",10001+,"['Banking', 'Finance', 'Financial Services', 'Venture Capital']",NA,www.goldmansachs.com/,"['Jan 1, 1869']","['Greater New York Area, East Coast, Northeastern US']",NA,['Active'],NA,NA,['For Profit'],NA,NA,NA,NA,NA,261,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,810,39,261,NA,['NYSE:GS'],NA,NA,NA,NA,NA,NA
14,15,netflix,NA,"['Netflix is an online platform that enables users to watch TV shows and movies on smart TVs, PCs, Macs, mobiles, tablets, and so on.', 'Netflix is an online platform that enables user to watch TV shows and movies on smart TVs, gaming consoles, PCs, Macs, mobiles, tablets, and so on. It provides its services under three segments: international streaming, domestic streaming, and domestic DVD.\nThe network enables members to access and view more than one billion hours of TV shows', 'and movies per month, including Netflix original series. Members can play, pause, and resume watching its content without commercial breaks or commitments. The company also provides DVDs-by-mail membership services.\nNetflix was founded in 1997 by Mitch Lowe, Reed Hastings, and Marc Randolph, and is headquartered in Los Gatos, California.']","Los Gatos, California, United States",1001-5000,"['Digital Entertainment', 'Media and Entertainment', 'TV', 'Video Streaming']",Public,www.netflix.com,"['Jan 1, 1997']","['San Francisco Bay Area, Silicon Valley, West Coast']","['Marc Randolph, Reed Hastings']",['Active'],NA,['Post-IPO Debt'],['For Profit'],NA,NA,NA,12,$3.1B,1,4,2,175,NA,77,"13,583,520",104,"1,264,770,082",6.22%,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
15,16,snowflake-computing,NA,"['Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.', 'Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.\nThe platform is built for the cloud, focusing on an instant, secure, governed access to an entire network of data, and is built to enable a variety of data workloads, including a single platform for developing modern data applications. It', 'combines the power of data warehousing, the flexibility of big data platforms, and the elasticity of the cloud at a fraction of the cost of traditional solutions.\nThe company was co-founded by Thierry Cruanes, Marcin Zukowski, Bob Muglia, and Benoit Dageville in 2012 and is headquartered in San Mateo, California.']","San Mateo, California, United States",1001-5000,"['Analytics', 'Cloud Data Services', 'Enterprise Software', 'Software']",Public,www.snowflake.com/,"['Jan 1, 2012']","['San Francisco Bay Area, Silicon Valley, West Coast']","['Benoit Dageville, Bob Muglia, Marcin Zukowski, Mike Speiser, Thierry Cruanes']",['Active'],NA,['Series G'],['For Profit'],NA,NA,13,8,$1.4B,NA,7,2,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,17,betterup,NA,"['BetterUp is a mobile-based leadership development platform used by Fortune 500 companies.', 'behaviors and skills. Individual growth is measured and tracked. With a diverse range of customers, including Genentech, Logitech, and Workday, BetterUp inspires employees to build the skills to thrive personally and professionally.']","San Francisco, California, United States",1001-5000,"['Corporate Training', 'Education', 'Personal Development', 'Training']",Private,www.betterup.co/,['2013'],"['San Francisco Bay Area, West Coast, Western US']","['Alexi Robichaux, Eddie Medina']",['Active'],NA,['Series D'],['For Profit'],NA,NA,19,NA,$269.8M,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,18,nokia,NA,"['Nokia is a Finnish multinational communications corporation engaged in the manufacturing of mobile devices and network infrastructure.', 'services and software that enable people to experience music, navigation, video, television, imaging, games, business mobility, and more.\nNokia also operates through four segments, including mobile broadband, global services, HERE, and technologies. Its mobile broadband segment provides consumers with hardware and core network software required to deliver mobile voice and data services. The corporation’s technology segment is involved in the development and sale of intellectual property rights and technology licensing activities. Its global services segment provides network implementation, care, managed services, and network planning and optimization. Finally, the HERE segment provides the development of local commerce, location-based services, and more.']","Espoo, Southern Finland, Finland",10001+,"['Electronics', 'Enterprise Software', 'Internet of Things', 'Mobile', 'Mobile Devices', 'Telecommunications']",Delisted,www.nokia.com,"['May 12, 1865']","['European Union (EU), Nordic Countries, Scandinavia']","['Frederic Idestam, Leo Mechelin']",['Active'],NA,['Post-IPO Debt'],['For Profit'],NA,NA,2,NA,€750M,NA,NA,52,211,NA,89,NA,94,"10,016,635",-4.76%,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,19,rover-com,NA,"['Rover is an online pet care marketplace that connects pet parents with pet sitters and dog walkers.', 'opportunity to experience the unconditional love of a dog, Rover improves and simplifies life for pet parents and the dogs they love.']","Seattle, Washington, United States",251-500,"['Consumer', 'Marketplace', 'Pet']",Private,www.rover.com,['2011'],"['Greater Seattle Area, West Coast, Western US']","['Aaron Easterly, Greg Gottesman, Philip Kimmey']",['Active'],NA,['Series G'],['For Profit'],NA,NA,18,NA,$310.9M,NA,NA,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,20,zomato,NA,"['Zomato is an online restaurant guide and food ordering platform that allows users to order meals from restaurants and have them delivered.', 'trusted recommendations. Zomato connects over 55 million users to restaurants in 24 countries. It is backed by investors such as Tiger Global, Temasek, Baillie Gifford, Kora, Luxor, Fidelity (FMR), D1 Capital, Baillie Gifford, Mirae, Steadview, and Ant Financial.']","Gurgaon, Haryana, India",10001+,"['Food Delivery', 'Mobile Apps', 'Reservations', 'Restaurants']",Private,www.zomato.com,['2008'],['Asia-Pacific (APAC)'],"['Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah']",['Active'],NA,['Venture - Series Unknown'],['For Profit'],NA,NA,24,20,$2.1B,1,12,14,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
20,21,citigroup,NA,"['Citigroup is a diversified financial services holding company that provides various financial products and services.', 'Citigroup is a diversified financial services holding company that provides various financial products and services.\nThe company operates through two segments, Global Consumer Banking (GCB) and Institutional Clients Group (ICG). The GCB segment offers traditional banking services to retail customers through retail banking, commercial banking,', 'Citi-branded cards, and Citi retail services. The ICG segment offers various banking, and financial products and services to corporate, institutional, public sector, and high-net-worth clients. This segment provides wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative services, equity and fixed income research, corporate lending, investment banking and advisory services, private banking, cash management, trade finance, and securities services.\nCitigroup Inc. was founded in 1812 and is based in New York, United States.']","New York, New York, United States",10001+,"['Banking', 'Credit Cards', 'Financial Services', 'Wealth Management']",NA,www.citigroup.com,"['Oct 8, 1998']","['Greater New York Area, East Coast, Northeastern US']",NA,['Active'],NA,['Post-IPO Equity'],['For Profit'],NA,NA,2,2,NA,21,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,91,5,21,NA,['NYSE:C'],NA,NA,NA,NA,NA,NA
21,22,twilio,NA,"['Twilio is a cloud communication company that enables users to use standard web languages to build voice, VoIP, and SMS apps via a web API.', 'Twilio, the developer platform for communications is reinventing telecom by merging the worlds of cloud computing, web services, and telecommunications. With Twilio, developers and businesses make communications more contextual by embedding voice, video, messaging, and authentication directly into applications.\nIt was founded in 2008 and is based', 'in San Francisco, California.']","San Francisco, California, United States",1001-5000,"['Enterprise Software', 'Messaging', 'Mobile Apps', 'SMS', 'VoIP']",Public,www.twilio.com,"['Jun 30, 2008']","['San Francisco Bay Area, West Coast, Western US']","['Evan Cooke, Jeff Lawson, John Wolthuis']",['Active'],NA,['Undisclosed'],['For Profit'],NA,NA,NA,10,$236.2M,2,NA,8,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
22,23,sap,NA,"['SAP is a technology company that develops enterprise application software for companies and industries across diverse sectors.', 'SAP is a technology company that develops enterprise application software for companies and industries across diverse sectors.\nThe company offers solutions covering various lines of businesses, including asset management, commerce, finance, human resources, manufacturing, marketing, sales, services, sourcing and procurement, supply chain, and', 'sustainability as well as research and development, and engineering. It provides enterprise application software to various industries, including consumer, discrete manufacturing, public services, energy and natural resources, financial services, and many other services.\nIn addition, the company offers SAP HANA, a platform that combines database, data processing, and application platform capabilities as well as simplifies application development and processing across big data sources and structures; and SAP HANA Cloud Platform which enables ease and flexibility in building, extending, and integrating business applications available to its partners, customers, and third-party developers. It also provides SAP Business Suite and SAP Business Warehouse as well as custom SAP HANA applications in the company’s cloud data centers.\nAdditionally, the company provides analytic solutions such as enterprise business intelligence, agile visualization, and advanced analytics for information and data needs. It also offers design, rapid deployment, and custom development; support services, software updates, and enhancements; and consulting and training services.\nSAP was founded in 1972 and is headquartered in Walldorf, Germany.']","Walldorf, Baden-Wurttemberg, Germany",10001+,"['Business Intelligence', 'Computer', 'Finance', 'Software']",Public,www.sap.com/,"['Apr 1, 1972']",['European Union (EU)'],"['Andreas Neumeier, Claus Wellenreuther, Dietmar Hopp, Hans-Werner Hector, Hasso Plattner, Klaus Tschira']",['Active'],NA,['Post-IPO Equity'],['For Profit'],NA,NA,NA,2,$1.3B,13,NA,48,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
23,24,flutterwave,NA,"['Flutterwave provides a payment service for global merchants and payment service providers.', 'Flutterwave provides a payment service for global merchants and payment service providers.\nIt provides technology, infrastructure, and services to enable global merchants, payment service providers, and helps banks and businesses build secure and seamless payment solutions for their customers by smoothening the exchange of funds.\nThe company was', 'founded in 2016 by Iyinoluwa Aboyeji and Olugbenga Agboola and is headquartered in San Francisco, California.']","San Francisco, California, United States",11-50,"['Developer APIs', 'FinTech', 'Payments', 'Software']",Private,www.flutterwave.com,['2016'],"['San Francisco Bay Area, West Coast, Western US']","['Iyinoluwa Aboyeji, Olugbenga Agboola']",['Active'],NA,['Secondary Market'],['For Profit'],NA,NA,32,NA,$64.7M,NA,NA,NA,6,NA,29,NA,95,"503,602",7.77%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,25,drift,NA,"['Use conversations to make business buying frictionless, more enjoyable, and more human.', 'conversation with a business at any time, on their terms.']","Boston, Massachusetts, United States",251-500,"['Apps', 'Enterprise Software', 'Internet', 'Marketing Automation', 'Sales Automation', 'Software']",Private,www.drift.com,['2015'],"['Greater Boston Area, East Coast, New England']","['David Cancel, Elias Torres']",['Active'],NA,['Series C'],['For Profit'],NA,NA,12,3,$107M,NA,3,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,26,solo-funds-inc,NA,"['SoLo is a marketplace community allowing members to easily access and supply short-term funds for immediate needs.', 'heights, but grounded in the same hope and mission: to build a community that enables financial autonomy for all.']","Los Angeles, California, United States",11-50,"['Financial Services', 'FinTech', 'Lending', 'Peer to Peer']",Private,www.solofunds.com,"['Mar 17, 2016']","['Greater Los Angeles Area, West Coast, Western US']","['Jarrel Carter, Rodney Williams, Taylor Bruno, Travis Holoway']",['Active'],NA,['Series A'],['For Profit'],NA,NA,18,NA,$12.8M,NA,NA,NA,4,NA,20,NA,36,"7,392",-2.92%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
